feature,bucket,train_n,oos_n,train_mean_bps,oos_mean_bps,train_excess_bps,oos_excess_bps,train_wr_pct,oos_wr_pct,train_sharpe_ish,oos_sharpe_ish,train_range_low,train_range_high
bb_pctb,3,18362,16877,-1.8814987894706507,3.008862627784255,-2.8713660138997517,1.4122049971698545,45.18570961768871,49.93185992771227,-0.01575607365925238,0.02986305576287442,0.6051908265072298,0.7886650024674309
bb_pctb,4,18362,18065,2.3269294683326276,-0.3631282863813074,1.3370622439035267,-1.959785916995708,43.889554514758736,47.29587600332134,0.016867057346569094,-0.0035540077538689925,0.7886650024674309,1.5494224114797335
bb_width_pct,0,18362,17005,0.3284684699848327,-0.20237399729927685,-0.6613987544442683,-1.7990316279136773,49.40638274697745,50.12055277859453,0.004641381053030029,-0.0031082142211363087,0.0008001603811488982,0.006392991955425704
bb_width_pct,1,18362,20954,-0.28965514664264025,0.18763898262729375,-1.2795223710717414,-1.4090186479871067,49.58610173183749,50.83039037892526,-0.002829677208681592,0.0020729853046205574,0.006392991955425704,0.010244047469654016
bb_width_pct,2,18361,19217,-0.591395034290977,1.732927734762705,-1.581262258720078,0.13627010414830454,49.32193235662546,51.67299786647239,-0.00506754804921411,0.017271417043750587,0.010244047469654016,0.015266093220562441
bb_width_pct,3,18362,15010,3.0038614121310023,2.5350828209904983,2.0139941877019014,0.9384251903760978,51.17634244635661,51.379080612924724,0.02193191568702592,0.022098489430362765,0.015266093220562441,0.024844638125399776
bb_width_pct,4,18362,11651,2.4979703049487623,5.322745080930315,1.5081030805196614,3.726087450315915,51.80263587844461,52.45043343918977,0.013485881940773456,0.03724034428104742,0.024844638125399776,0.2398058369113922
atr_pct,0,18363,21007,1.7406722463616076,-0.3525003384138443,0.7166431404814577,-1.9491579690282448,50.00816859990198,50.30228019231685,0.02893390691799893,-0.005601454271455262,0.00012075569252539447,0.002075906877618653
atr_pct,1,18363,25162,-1.1882964064511676,-0.6423271715741046,-2.2123255123313177,-2.2389848021885053,49.05516527800468,49.98807725935935,-0.012813791768211404,-0.007121244627841786,0.002075906877618653,0.0031550675048724153
atr_pct,2,18363,16809,-0.25500205930007985,1.4591351426930468,-1.2790311651802297,-0.1375224879213537,49.049719544736696,51.21066095544053,-0.0021352681265358327,0.01406469140025577,0.0031550675048724153,0.0042417840550421065
atr_pct,3,18363,11748,1.7626523198234534,2.7737469209052676,0.7386232139433035,1.1770892902908672,51.63099711376137,53.08988764044944,0.013530828125692998,0.02322121219294036,0.0042417840550421065,0.005798672600940859
atr_pct,4,18363,9111,3.060119428966937,11.010165211031083,2.0360903230867873,9.413507580416683,51.565648314545555,54.1872461859291,0.015530419576453382,0.06847017575209442,0.005798672600940859,0.07568649226547526
atr_pct_rank_500,0,18370,16807,-1.2923901998266498,0.39371172259718734,-2.240704905511943,-1.2029459080172131,48.93304300489929,50.389718569643605,-0.012883996808244374,0.005842544375087918,0.002,0.162
atr_pct_rank_500,1,18217,14818,2.301143386858824,-3.382599206788129,1.352828681173531,-4.97925683740253,50.12351100620299,49.338642191928734,0.020260375032527353,-0.035821984765599876,0.162,0.374
atr_pct_rank_500,2,18279,17308,1.6409190567969067,-1.9315714897363396,0.692604351111614,-3.52822912035074,49.84955413315827,49.51467529466142,0.01385453233628637,-0.019268687025786456,0.374,0.588
atr_pct_rank_500,3,18196,17362,0.8934893017237618,4.144438192355583,-0.054825403961530905,2.547780561741183,50.35722136733348,52.119571477940326,0.006919622906656705,0.03805366709167378,0.588,0.802
