i,ts,side,entry_px,fwd_close,adx_14,bb_width_rank,atr_rank,dist_from_mid,year,signed_ret,adx_bucket
6160,2021-07-27 23:00:00,SHORT,39110.67,39695.5,32.829187322167805,0.735,0.816,0.019515927219644395,2021,-0.014953208421129113,Q2
6191,2021-07-28 06:45:00,LONG,39523.03,40161.08,31.318731851413045,0.17,0.798,0.012095431336113202,2021,0.01614375213641269,Q2
6237,2021-07-28 18:15:00,LONG,39526.81,40011.27,29.58002763938826,0.385,0.802,-0.007450123670697009,2021,0.01225649122709369,Q2
6266,2021-07-29 01:30:00,LONG,39483.44,40095.97,22.482194365387677,0.235,0.682,-0.005893120161137979,2021,0.015513592533983838,LOW
6308,2021-07-29 12:00:00,LONG,39616.94,39840.39,21.218659666386703,0.355,0.47,-0.007949909870972155,2021,0.005640263988081792,LOW
6378,2021-07-30 05:30:00,LONG,39719.54,38539.01,27.11253690929546,0.185,0.018,-0.004090122864156645,2021,-0.02972164330201203,Q2
6440,2021-07-30 21:00:00,SHORT,41013.14,41810.33,49.16044102509723,1.0,0.668,0.02317025025337178,2021,-0.019437429077607867,Q3
6464,2021-07-31 03:00:00,SHORT,41946.45,41611.13,82.23037327339624,0.775,0.564,0.03132062501106396,2021,0.007994001876201674,HIGH
6509,2021-07-31 14:15:00,LONG,41468.74,41344.42,35.79703578247068,0.37,0.236,-0.00465512484373006,2021,-0.002997920843507657,Q2
6540,2021-07-31 22:00:00,SHORT,41735.65,41628.65,36.125071998952244,0.76,0.278,0.005191582533710491,2021,0.002563755446482803,Q2
6578,2021-08-01 07:30:00,LONG,41772.59,41583.01,39.1112844773508,0.69,0.188,-0.0019301908149582559,2021,-0.004538382705022468,Q3
6614,2021-08-01 16:30:00,LONG,40910.0,41152.06,46.40657325757375,0.71,0.312,-0.015841914044340072,2021,0.00591689073576137,Q3
6638,2021-08-01 22:30:00,LONG,40219.73,39718.95,16.098030613563964,0.855,0.828,-0.018211062116264696,2021,-0.01245110297856316,LOW
6662,2021-08-02 04:30:00,LONG,39723.05,39599.87,41.956627673888704,0.345,0.244,-0.016049765431840352,2021,-0.0031009703434152283,Q3
6686,2021-08-02 10:30:00,LONG,39760.26,39580.63,22.711074702291807,0.875,0.532,-0.01024523901450344,2021,-0.0045178275997190325,LOW
6710,2021-08-02 16:30:00,SHORT,39750.01,38793.57,27.4565301957828,0.725,0.288,0.0026740490364242264,2021,0.024061377594622044,Q2
6774,2021-08-03 08:30:00,SHORT,38564.42,38260.15,42.617154658532215,0.395,0.48,-0.0072860610080991975,2021,0.00788991510827848,Q3
6813,2021-08-03 18:15:00,LONG,37915.15,38490.05,19.430186158985006,0.515,0.84,-0.007451090032455616,2021,0.015162804314370415,LOW
6855,2021-08-04 04:45:00,LONG,37966.76,37743.71,30.117136123283395,0.62,0.278,-0.004049982752356616,2021,-0.005874875812421258,Q2
6879,2021-08-04 10:45:00,LONG,38080.99,39097.73,20.254750371899384,0.045,0.238,0.00025846342965727347,2021,0.026699410913424395,LOW
