entry_ts,side,entry_px,tp1_px,exit_ts,exit_px,pnl_pct_pos,bars_held,reason,bal_after
2026-04-19 18:30:00,LONG,74691.23526,74815.7206521,2026-04-19 19:55:00,74869.21958928573,0.005474401909397386,17,TP1+TRAIL,4954.218347883297
2026-04-19 20:50:00,LONG,74666.63033999999,,2026-04-19 21:50:00,74402.85802388555,-0.011197999999999944,12,SL,4898.7410108237
2026-04-19 22:00:00,LONG,73855.16807999999,73978.2600268,2026-04-19 22:15:00,73889.62397774824,0.002599800000000053,3,TP1+LOCK,4911.47675770364
2026-04-19 22:25:00,LONG,73926.88242000001,74050.09389070001,2026-04-19 23:00:00,73961.37177487834,0.0025997999999997036,7,TP1+LOCK,4924.245614978316
2026-04-19 23:10:00,LONG,74002.69758,,2026-04-19 23:15:00,73741.27071701572,-0.011197999999999595,1,SL,4869.103912581791
2026-04-19 23:25:00,LONG,73862.66957999999,73985.7740293,2026-04-20 00:05:00,73914.5926957143,0.0029544524590614414,8,TP1+TRAIL,4883.489448609744
2026-04-20 05:35:00,LONG,74133.22368,74256.7790528,2026-04-20 06:10:00,74245.71574357143,0.004176146739355831,7,TP1+TRAIL,4903.883617147233
2026-04-20 06:20:00,LONG,74339.865,74463.764775,2026-04-20 06:50:00,74662.85729857143,0.008417209142862044,6,TP1+TRAIL,4945.160631165016
2026-04-20 07:00:00,LONG,74739.34487999999,74863.91045479999,2026-04-20 07:25:00,75247.13327714286,0.012091186408407005,5,TP1+TRAIL,5004.953490175948
2026-04-20 19:05:00,SHORT,76393.41826,76266.09589623334,2026-04-20 19:55:00,76287.16152428572,0.003986372192810757,10,TP1+TRAIL,5024.905097595497
2026-04-21 07:20:00,SHORT,76079.48106,,2026-04-21 08:20:00,76348.34594606605,-0.01120200000000027,12,SL,4968.616110692231
2026-04-21 08:30:00,SHORT,76267.14352,,2026-04-21 08:45:00,76536.67160519968,-0.01120199999999998,3,SL,4912.957673020257
2026-04-21 08:55:00,SHORT,76447.10751999999,76319.69567413333,2026-04-21 09:10:00,76411.42201020966,0.002600199999999854,3,TP1+LOCK,4925.732345561643
2026-04-21 10:55:00,SHORT,76686.75958000001,76558.94831403335,2026-04-21 11:20:00,76517.41470857144,0.00521240110462448,5,TP1+TRAIL,4951.407238280733
2026-04-21 11:30:00,SHORT,76517.99334,76390.4633511,2026-04-21 12:30:00,76377.47601214286,0.004654593822777851,12,TP1+TRAIL,4974.454027826091
2026-04-21 23:40:00,SHORT,76025.39188000001,,2026-04-21 23:45:00,76294.06561490394,-0.011202000000000479,1,SL,4918.730193806381
2026-04-21 23:55:00,SHORT,76272.94236,76145.8207894,2026-04-22 01:35:00,76237.33815050636,0.0026002000000000304,20,TP1+LOCK,4931.519876056317
2026-04-22 02:35:00,SHORT,77046.0877,,2026-04-22 02:50:00,77318.36857393182,-0.01120200000000052,3,SL,4876.276990404732
2026-04-22 03:00:00,SHORT,77545.68776,77416.44494706666,2026-04-22 03:25:00,77509.48943295363,0.002600200000000168,5,TP1+LOCK,4888.956285835184
2026-04-22 03:35:00,SHORT,77376.82154,,2026-04-22 04:40:00,77650.27122732237,-0.011202000000000344,13,SL,4834.190197521256
2026-04-22 04:50:00,SHORT,77414.514,,2026-04-22 05:15:00,77688.096892476,-0.01120199999999996,5,SL,4780.037598928623
2026-04-22 13:35:00,SHORT,78382.02046,,2026-04-22 13:45:00,78659.02252030565,-0.011202000000000281,2,SL,4726.491617745423
2026-04-22 13:55:00,SHORT,78778.7411,78647.44319816666,2026-04-22 14:10:00,78741.96718365452,0.002600200000000226,3,TP1+LOCK,4738.7814412498865
2026-04-22 14:20:00,SHORT,79017.39336,78885.6977044,2026-04-22 14:40:00,78901.73790642858,0.004095506242110081,4,TP1+TRAIL,4758.18915022252
2026-04-22 14:50:00,SHORT,78901.7165,,2026-04-22 15:30:00,79180.55516611101,-0.011202000000000479,8,SL,4704.8879153617245
2026-04-22 16:10:00,SHORT,79141.36856,79009.46627906666,2026-04-22 17:00:00,78839.81838214285,0.007615408704902654,10,TP1+TRAIL,4740.717559747962
2026-04-22 17:10:00,SHORT,78922.01244,78790.4757526,2026-04-22 17:25:00,78885.171644593,0.002600200000000186,3,TP1+LOCK,4753.04437354682
2026-04-22 17:35:00,SHORT,78780.2408,,2026-04-22 18:45:00,79058.6501709872,-0.011201999999999844,14,SL,4699.8007704743495
2026-04-22 18:55:00,SHORT,78973.7021,78842.07926316666,2026-04-22 19:15:00,78852.25301142858,0.004206763239064833,4,TP1+TRAIL,4719.571719586509
2026-04-22 19:25:00,SHORT,78964.10402,78832.49717996667,2026-04-22 19:55:00,78920.81672142856,0.002722284361520823,6,TP1+TRAIL,4732.419735871816
2026-04-22 20:05:00,SHORT,78717.65332,78586.45723113333,2026-04-22 21:05:00,78517.31103642857,0.0057176115862538155,12,TP1+TRAIL,4759.477873784653
2026-04-22 22:00:00,SHORT,78686.85948000001,78555.71471420002,2026-04-22 22:55:00,78558.22636071428,0.004352120725159137,11,TP1+TRAIL,4780.191696080087
2026-04-22 23:05:00,SHORT,78484.3,78353.49283333334,2026-04-23 00:00:00,78309.74453142857,0.005236122037874379,11,TP1+TRAIL,4805.221363165196
2026-04-23 15:25:00,SHORT,78327.73131999999,78197.18510113332,2026-04-23 16:25:00,78291.16793501982,0.0026001999999999224,12,TP1+LOCK,4817.715899753697
2026-04-23 16:35:00,SHORT,78254.74592,78124.32134346667,2026-04-23 17:25:00,77805.99380142856,0.01050175533053681,10,TP1+TRAIL,4868.3103733849475
2026-04-23 22:15:00,SHORT,78168.46318,78038.18240803333,2026-04-23 23:25:00,78116.43087642858,0.002898464753968934,14,TP1+TRAIL,4882.420999413585
2026-04-23 23:35:00,SHORT,78158.06526,,2026-04-24 00:20:00,78434.27586262886,-0.011202000000000496,9,SL,4827.728119378152
2026-04-24 00:30:00,SHORT,78384.22002,78253.5796533,2026-04-24 01:35:00,78074.42247642858,0.007828442169081412,13,TP1+TRAIL,4865.521709768753
2026-04-24 02:05:00,SHORT,78278.04126,78147.57785789999,2026-04-24 03:25:00,77813.44529142855,0.010802802646050597,16,TP1+TRAIL,4918.082980569458
2026-04-24 11:35:00,SHORT,78220.65274,78090.28498543333,2026-04-24 12:55:00,78155.71373142856,0.00314530426997264,16,TP1+TRAIL,4933.551847968323
2026-04-24 13:05:00,SHORT,78325.03186,78194.49014023333,2026-04-24 13:35:00,78235.1367557143,0.0036215780603777526,6,TP1+TRAIL,4951.419091100661
2026-04-25 16:35:00,LONG,77245.54602000001,77374.28859670002,2026-04-25 17:15:00,77281.58364206988,0.0025998000000002465,8,TP1+LOCK,4964.291790453705
2026-04-25 17:25:00,LONG,77299.55682,77428.3894147,2026-04-25 21:30:00,77424.14778714287,0.004317691102026387,49,TP1+TRAIL,4985.72606894521
2026-04-26 05:30:00,SHORT,78025.99168,77895.94836053334,2026-04-26 06:40:00,77983.74720214285,0.0027121231838438007,14,TP1+TRAIL,4999.24797220509
2026-04-26 19:20:00,SHORT,78159.365,78029.09939166666,2026-04-26 19:30:00,78122.88020841799,0.002600200000000434,2,TP1+LOCK,5012.24701678242
2026-04-26 19:40:00,SHORT,78125.47178,77995.26266036667,2026-04-26 21:35:00,78065.12776071428,0.003058598173761804,23,TP1+TRAIL,5027.577466354394
2026-04-26 23:50:00,SHORT,78601.7765,78470.77353916666,2026-04-27 00:35:00,78565.08519072979,0.002600200000000483,9,TP1+LOCK,5040.650173282412
2026-04-27 00:45:00,SHORT,78759.04504000001,,2026-04-27 00:55:00,79037.37950517138,-0.0112020000000004,2,SL,4984.1848100413
2026-04-27 01:05:00,SHORT,79084.18000000001,78952.37303333334,2026-04-27 01:20:00,79047.26350477601,0.002600199999999986,3,TP1+LOCK,4997.14468738437
2026-04-27 01:30:00,SHORT,78815.93366,,2026-04-27 01:35:00,79094.46916955443,-0.011201999999999865,1,SL,4941.1666725962905
